# source=braindecode==1.6.1
# wheel_sha256=400594d8af168453c6e826c34b8a887620d3e90c9b3fbb7d32ceb08c56f243d2
# source_url=https://github.com/braindecode/braindecode/tree/v1.6.1
# Upstream files without a file-level override inherit the distribution's BSD-3-Clause LICENSE.
upstream_path	sha256	license	disposition	symbols
braindecode/models/atcnet.py	b2216cee9bccac09c00a070c2cb801229357ff67aaa90bb69b8a996a7383733b	BSD-3-Clause	vendor	ATCNet
braindecode/models/tcn.py	b2c1da8b1ac245a9460a83f7fbec18df3b46c1c150345b5ae42787d6779f61ab	BSD-3-Clause	vendor	BDTCN
braindecode/models/deep4.py	a12da9d1ced545536fc21c68b24f319a70d8ded8b50c63b144a174a965d43c77	BSD-3-Clause	vendor	Deep4Net
braindecode/models/deepsleepnet.py	541cb39839a3082498eef0a4ce4b1f404ccbd028ae075590ec678208c8196c25	BSD-3-Clause	vendor	DeepSleepNet
braindecode/models/eegconformer.py	4f9a7766589cc117ee96df69540b98fac0f76dfe676942e321ddcc206efa243e	BSD-3-Clause	vendor	EEGConformer
braindecode/models/eeginception_erp.py	1bc8ce562b1fe3f2cb4cff2a34b48f9441d70621572462c9eaae90356044e139	BSD-3-Clause	vendor	EEGInceptionERP
braindecode/models/eeginception_mi.py	a7b882f31e04d65a0e52bf3c07fb3e99649da4dffaf4b54cfe306492443a5f79	BSD-3-Clause	vendor	EEGInceptionMI
braindecode/models/eegitnet.py	df528a6843a80b75d01f2ea35ee5693badc3408850a5b3f675c6c4994438733b	BSD-3-Clause	vendor	EEGITNet
braindecode/models/eegnet.py	6e22097cfc456748b63d4cf4fc717ea26879e42c7a7588dc8ee3d511faaacb66	BSD-3-Clause	vendor	EEGNet
braindecode/models/eegpt.py	f93414f12ce6240164440d2807b1326385fa225c2d814b4855b03fb214891eea	BSD-3-Clause	vendor	EEGPT,InterpolatedEEGPT
braindecode/models/shallow_fbcsp.py	06a13de224efdfa8796f9307b25c37160ee60ba4f0fb70e9cbba73185f7484ef	BSD-3-Clause	vendor	ShallowFBCSPNet
braindecode/models/sleep_stager_blanco_2020.py	c452157ba1c01cc7bbac5beadc06a1a29deabf7f4e4e0d8ab8a948a560d99e05	BSD-3-Clause	vendor	SleepStagerBlanco2020
braindecode/models/sleep_stager_chambon_2018.py	5af85018f841191057af4ed02ca6631c39dcbc62e7b18d14609b54918eb7adb1	BSD-3-Clause	vendor	SleepStagerChambon2018
braindecode/models/attn_sleep.py	8051cea119ed32229abcd5bda6b3ffc7d5e304bdded41cf74ab3c1e22f3bff5d	BSD-3-Clause	vendor	AttnSleep
braindecode/models/tidnet.py	200dbdbc385c1f92ddad96830e432ed48022de6677f40b12e310353184c3f9cd	BSD-3-Clause	vendor	TIDNet
braindecode/models/usleep.py	280ac15956b894954c11682dde20c59f5aae977ccb4bb23478136898f262147f	BSD-3-Clause	vendor	USleep
braindecode/models/biot.py	c2b9ca155c40abd19cd3bcfe2c089eaf719d8a7244cb1453599ec6911fb40776	BSD-3-Clause	vendor	BIOT,InterpolatedBIOT
braindecode/models/attentionbasenet.py	93b6abeda12300db9d3eeee4ac066c471f9a83ad6e822ad2d579fba8528d7d68	BSD-3-Clause	vendor	AttentionBaseNet
braindecode/models/labram.py	4102baa7e509c8674c663fa0d30937e389f452e414b33c0588b5f59721eb4e45	BSD-3-Clause	vendor	Labram,InterpolatedLaBraM
braindecode/models/eegsimpleconv.py	b2e1cefaff656889b0bd7a4b176770be814504a8e257e733016d451f0452b1c2	BSD-3-Clause	vendor	EEGSimpleConv
braindecode/models/sparcnet.py	8c62be1cc4e19dc83d034914a97bd110a622798a8e090ce9b1801ed694ee6ffd	BSD-3-Clause	vendor	SPARCNet
braindecode/models/contrawr.py	d71aad413ee5cea0d631d0ac840beccc86ab2207cfda48b69e81dce62e867204	BSD-3-Clause	vendor	ContraWR
braindecode/models/eegnex.py	00b5b9aa80a425e657d50cbca6f285e8b2ac2e259adfc7196127c6f60ac18997	BSD-3-Clause	vendor	EEGNeX
braindecode/models/eegsym.py	6ae7259e6132973dda952d89725a2d57e6624bf44c25df7271fd66641f5409b8	BSD-3-Clause	vendor	EEGSym
braindecode/models/tsinception.py	9f75aa60821eccca6b90929e758d39cc11c0728b90f1cfc9081c84bb45f53c28	BSD-3-Clause	vendor	TSception
braindecode/models/eegtcnet.py	82eadb4f1c6474aa2fc48e11e773b0681a61db9c1c6193b1fd0dbf7574f1fae8	BSD-3-Clause	vendor	EEGTCNet
braindecode/models/syncnet.py	09a42df1da3481ff32766b0e3ecd45a4d118c89fd1d0256efe110326e3046c71	BSD-3-Clause	vendor	SyncNet
braindecode/models/msvtnet.py	55389df75cf85638e0e3c489c31dfa45bcf2ef44f76a9c19c06039492e480c95	BSD-3-Clause	vendor	MSVTNet
braindecode/models/eegminer.py	68605d84398d9f96a4b050fe8ad4272ea94d24323c36a10ab0855a98707923ee	CC-BY-NC-4.0	excluded	EEGMiner
braindecode/models/ctnet.py	e24c80af40eaaacfac5de698c4014b4a0fe851be8d5eda64115527e312a0f09a	MIT	vendor	CTNet
braindecode/models/tcformer.py	13b9de856e2a0e7d1f69665a7fb1f647cd80c27460bbdf7feb86318e62d8e35f	MIT	vendor	TCFormer
braindecode/models/sinc_shallow.py	19bbf2284fd6fd5fa7f9176b454f096ec62789a6e0fc0b455e56f7af93fce40c	BSD-3-Clause	vendor	SincShallowNet
braindecode/models/sccnet.py	3e5c0cedf8132754edf151c4226425bb191eaed29779717c5b173a5371904cfd	BSD-3-Clause	vendor	SCCNet
braindecode/models/signal_jepa.py	2518347f19ec22fa8d5965706e55685f48d2257e58f9bc5268ad53b358d781db	BSD-3-Clause	vendor	SignalJEPA,InterpolatedSignalJEPA,SignalJEPA_Contextual,SignalJEPA_PostLocal,SignalJEPA_PreLocal
braindecode/models/fbcnet.py	604e690ad1743a8dc9eeb87c0c3065d28619cbd4dbda8c9790e60924cafbe81a	BSD-3-Clause	vendor	FBCNet
braindecode/models/fbmsnet.py	47e897d38265c30fff60046651c9de1c4955021d175d063bf65c412d6aea7020	BSD-3-Clause	vendor	FBMSNet
braindecode/models/meta_neuromotor.py	960eee2a2b9b9a0c9695d04480cae1e7f129fe1f0aa6098ff41bbdded15c56c5	CC-BY-NC-4.0	excluded	MetaNeuromotorHand
braindecode/models/emg2qwerty.py	967e4699feeed1dba9e3f3cdeb12d15ecd0a63e4eb45beb4ea9d2cea5e49d28f	CC-BY-NC-4.0	excluded	EMG2QwertyNet
braindecode/models/fblightconvnet.py	6cea3b0e5162a81c954347ba7ad86fe67d89ecdfad22189ab0b39ba862c08388	BSD-3-Clause	vendor	FBLightConvNet
braindecode/models/ifnet.py	aa52e22a80bdb8e53c0aa042cdf8476a5cf0e504c5adbeb3ffa6dcc7b58a1b52	MIT	vendor	IFNet
braindecode/models/patchedtransformer.py	cc50e4d1974abf65350ddfca6f8919759986d80feda7e98591823b3b479ef3b1	BSD-3-Clause	vendor	PBT
braindecode/models/sstdpn.py	3185feca1a6e9194ec9aae15708f3753abac1a4803040160d02c255459f544f4	BSD-3-Clause	vendor	SSTDPN
braindecode/models/brainmodule.py	77459c720858e3216ebf451d7dd9e876fe2ddbbf3f62f9125ce567168c537fa8	CC-BY-NC-4.0	excluded	BrainModule
braindecode/models/bendr.py	4643de1e8145d2f703056da3328ffda12d4fc6eab7c1c23812b0de2fb2fc406b	BSD-3-Clause	vendor	BENDR,InterpolatedBENDR
braindecode/models/luna.py	f8519bb2a1e8f57304f9c69c86bb428e63a40ca99bb76622cfa7f2536ebef35f	Apache-2.0	vendor	LUNA
braindecode/models/medformer.py	9ec62039fcbeb6c3c3cc8887af72dde8b2dbeac161a2b5005f0f5f85d5ad3e94	MIT	vendor	MEDFormer
braindecode/models/steegformer.py	d703f92875461ba5c1ca737fe386147952253603b943a96e42ff818de2edf2df	BSD-3-Clause	vendor	STEEGFormer
braindecode/models/mvpformer.py	da5debf752a914502340ab00fb711cb3000a7c5d8ee1e6daa60d66e59d7345bb	Apache-2.0	vendor	MVPFormer
braindecode/models/reve.py	8120a08481645245a87d359e20ea9975da75893e0ef715b1d3ef6c7694a2a49d	BSD-3-Clause	vendor	REVE
braindecode/models/cbramod.py	64dc8cfe20461468cca663a2aa12f09a01b3cbe028c0126a4ce47335e346f7d2	BSD-3-Clause	vendor	CBraMod
braindecode/models/codebrain.py	fb438a58b6849ec813062e17aa3df1d436b895a02b0129b4447d593335eed326	BSD-3-Clause	vendor	CodeBrain
braindecode/models/dgcnn.py	c76d403eedf2a9898ac1e2f22dd7772ccf95322318474e9340aaa63f56b91937	BSD-3-Clause	vendor	DGCNN
braindecode/models/eegdino.py	b1cb7991b8b524999fa1e7749172fed63674b8c7d58ecbb7c38dd1c6053eb7c3	BSD-3-Clause	vendor	EEGDINO
