User Input,Mapped Function
Load EEG data from file,load data
I want to load data ,load data
Can you load data?,load data
Help me load data,load data
import data for me,load data
I want to import data,load data
data load,load data
load data,load data
import data,load data
load new data for analysis,load data
filter the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}"
apply filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}"
apply band-pass filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}"
filter the data within 5hz to 40hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 40}}"
apply filter with low cutoff frequency of 5,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 50}}"
apply filter with high cutoff of 45hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 45}}"
Apply a low-pass filter at 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}"
Apply a high-pass filter at 0.5 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 45}}"
Perform a bandpass filter from 0.1 Hz to 45 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45}}"
Apply a bandpass filter from 1 to 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}"
Normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}"
normalize the data with z-score method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}"
normalize the data with min max method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}"
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}"
can you normalize the data?,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}"
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}"
Normalize the data using z-score,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}"
Perform min-max normalization,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}"
normalize the data please,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}"
I want to normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}"
resample the data to 125hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}"
resample the data to 250hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}"
Downsample the data to 128 Hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}"
resample the data to 125,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}"
resample the data to 250,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}"
Downsample the data to 100,"{""command"": ""Resample"", ""parameters"": {""frequency"": 100}}"
apply resampling to 128,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}"
resample the data to 500hz please,"{""command"": ""Resample"", ""parameters"": {""frequency"": 500}}"
I want to resample the data to 256hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 256}}"
can you downsample the data to 200hz?,"{""command"": ""Resample"", ""parameters"": {""frequency"": 200}}"
"epoch with event 800,801,802","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -0.5, ""end_time"": 3}}}"
"epoch with event 600, 700, 801","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [600, 700, 801], ""start_time"": -0.5, ""end_time"": 3}}}"
"epoch with event 800,801,802, 803, 804","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802, 803, 804], ""start_time"": -0.5, ""end_time"": 3}}}"
epoch with event 800,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3}}}"
"epoch with event 800,801,802 with start time of -1","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -1, ""end_time"": 3}}}"
"epoch with event 800,801,802 with time -1 to 5","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -1, ""end_time"": 5}}}"
epoch with event 800 with start time 1sec prior of event to 3sec after,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -1, ""end_time"": 3}}}"
epoch with event 800 with start time 0.5sec prior of event to 3sec after,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3}}}"
"epoch with event 800,801,802 and do baseline removal","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -0.5, ""end_time"": 3, ""baseline_tmin"": -0.5, ""baseline_tmax"": 3, ""doRemoval""： True}}}"
epoch with event 800 and do baseline removal,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3, ""baseline_tmin"": -0.5, ""baseline_tmax"": 3, ""doRemoval""： True}}}"
export the preprocessed data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
save the preprocessed data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
export the current data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
save the data now,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
perform export,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
export the data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
export current data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
I want to save the preprocessed data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}"
export the data to ./preprocessed,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed""}}"
export the data to ./new_data,"{""command"": ""Export"", ""parameters"": {""path"": ""./new_data""}}"
I want to split the data using trial.,"{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": ""False""}}"
standard data splitting.,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}"
split data into train test validation,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}"
split the data,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}"
split the data by session,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}"
create training testing and validation sets,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}"
split the data with cross validation,"{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": ""True""}}"
I want to split the data using trial and use cross validation,"{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": ""True""}}"
create training testing and validation sets and apply cross validation,"{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": ""True""}}"
split the data by trial,"{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": ""False""}}"
Use SCCNet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}"
Select SCCNet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}"
use sccnet as model,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}"
perform model selection with sccnet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}"
Use EEGNet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}"
Select EEGNet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}"
can you use eegnet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}"
perform model selection with eegnet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}"
use ShallowConvNet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""ShallowConvNet""}}"
select ShallowConvNet,"{""command"": ""Model Selection"", ""parameters"": {""model"": ""ShallowConvNet""}}"
start training,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
start model training,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
start training the model,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
start training with batch size of 64,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 64, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
start model training with 50 epochs,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 50, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
start training the model with learning rate 0.01 and 200 epochs,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 200, ""batch size"": 32, ""learning rate"": 0.01, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
start training the model with Adam optimizer,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
start training the model with SGD optimizer,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""SGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
set training of the model,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
set basic training settings,"{""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}}"
I want to see training accuracy,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}"
Can I monitor the training accuracy?,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}"
I want to see the training loss,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""loss""}}"
Show the training learning rate,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""learning rate""}}"
show training acc,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}"
show training accuracy,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}"
I want to see training process,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}"
I want to see the training manager,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}"
how to check training loss,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""loss""}}"
how is the training going?,"{""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}"
I want to see the accuracy results,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}}"
I want to see the AUC and accuracy of testing,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Area under ROC-curve""}}}"
I want to see the AUC of results,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Area under ROC-curve""}}}"
I want to see the accuracy,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}}"
I want to see testing accuracy and kappa value,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}}"
show me testing accuracy,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}}"
show testing accuracy,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}}"
show performance table,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}}"
I want to see testing kappa value,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""kappa value""}}}"
show me testing kappa value,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""kappa value""}}}"
confusion matrix please, "{{"command": "Confusion matrix"}}"
I want to see the confusion table, "{{"command": "Confusion matrix"}}"
confusion matrix, "{{"command": "Confusion matrix"}}"
show confusion matrix, "{{"command": "Confusion matrix"}}"
can I see the confusion matrix of resuts, "{{"command": "Confusion matrix"}}"
I want to see testing confusion matrix, "{{"command": "Confusion matrix"}}"
show the confusion matrix, "{{"command": "Confusion matrix"}}"
confusion matrix of testing results, "{{"command": "Confusion matrix"}}"
show me the confusion, "{{"command": "Confusion matrix"}}"
show confusion matrix, "{{"command": "Confusion matrix"}}"
Can you export the model., "{{"command": "Export Model"}}"
export the model, "{{"command": "Export Model"}}"
export model, "{{"command": "Export Model"}}"
I want to export the model, "{{"command": "Export Model"}}"
Export the trained model, "{{"command": "Export Model"}}"
Export current model, "{{"command": "Export Model"}}"
Can you export the model for me, "{{"command": "Export Model"}}"
Output the model, "{{"command": "Export Model"}}"
Can you output the model, "{{"command": "Export Model"}}""
perform export model, "{{"command": "Export Model"}}"
Show me the saliency map.,"{""command"": ""Saliency map""}"
Can I see a saliency map?,"{""command"": ""Saliency map""}"
Display the saliency map.,"{""command"": ""Saliency map""}"
I want to check the saliency map.,"{""command"": ""Saliency map""}"
Generate a saliency map.,"{""command"": ""Saliency map""}"
Provide the saliency map.,"{""command"": ""Saliency map""}"
Can you plot the saliency map?,"{""command"": ""Saliency map""}"
Give me a saliency map visualization.,"{""command"": ""Saliency map""}"
I need a saliency map.,"{""command"": ""Saliency map""}"
Show saliency visualization.,"{""command"": ""Saliency map""}"
Show me the saliency topographic map.,"{""command"": ""Saliency topographic map""}"
Can I see a topographic saliency map?,"{""command"": ""Saliency topographic map""}"
Display the saliency topo map.,"{""command"": ""Saliency topographic map""}"
I want to check the saliency topographic map.,"{""command"": ""Saliency topographic map""}"
Generate a topographic saliency map.,"{""command"": ""Saliency topographic map""}"
Provide the topographic saliency map.,"{""command"": ""Saliency topographic map""}"
Can you plot the topo saliency map?,"{""command"": ""Saliency topographic map""}"
Give me a saliency topo visualization.,"{""command"": ""Saliency topographic map""}"
I need a saliency topographic map.,"{""command"": ""Saliency topographic map""}"
Show saliency topo visualization.,"{""command"": ""Saliency topographic map""}"
Show me the saliency spectrogram.,"{""command"": ""Saliency spectrogram""}"
Can I see a saliency spectrogram?,"{""command"": ""Saliency spectrogram""}"
Display the saliency spectrogram.,"{""command"": ""Saliency spectrogram""}"
I want to check the saliency spectrogram,"{""command"": ""Saliency spectrogram""}"
Generate a saliency spectrogram.,"{""command"": ""Saliency spectrogram""}"
Provide the saliency spectrogram.,"{""command"": ""Saliency spectrogram""}"
Can you plot the saliency spectrogram?,"{""command"": ""Saliency spectrogram""}"
Give me a saliency spectrogram visualization.,"{""command"": ""Saliency spectrogram""}"
I need a saliency spectrogram.,"{""command"": ""Saliency spectrogram""}"
Show saliency spectrogram visualization.,"{""command"": ""Saliency spectrogram""}"
Show me a 3D saliency plot.,"{""command"": ""3D Saliency plot""}"
Can I see a 3D saliency plot?,"{""command"": ""3D Saliency plot""}"
Display the 3D saliency plot.,"{""command"": ""3D Saliency plot""}"
I want to check the 3D saliency plot.,"{""command"": ""3D Saliency plot""}"
Generate a 3D saliency plot.,"{""command"": ""3D Saliency plot""}"
Show me a 3D saliency plot for event RH.,"{""command"": ""3D Saliency plot"", ""parameters"": {""event"": ""RH""}}"
I need a 3D saliency plot for event 200.,"{""command"": ""3D Saliency plot"", ""parameters"": {""event"": ""200""}}"
Plot a 3D saliency map for event LH.,"{""command"": ""3D Saliency plot"", ""parameters"": {""event"": ""LH""}}"
Give me a 3D saliency plot visualization.,"{""command"": ""3D Saliency plot""}"
Show me a 3D saliency plot of event 50.,"{""command"": ""3D Saliency plot"", ""parameters"": {""event"": ""50""}}"
Show me the model summary.,"{""command"": ""Model Summary""}"
Can I see the model summary?,"{""command"": ""Model Summary""}"
Display the model summary,"{""command"": ""Model Summary""}"
I want to check the model summary,"{""command"": ""Model Summary""}"
Provide the model summary.,"{""command"": ""Model Summary""}"
What model was used in training?,"{""command"": ""Model Summary""}"
Give me details on the model used.,"{""command"": ""Model Summary""}"
Can you show me model info?,"{""command"": ""Model Summary""}"
What are the layers in the model?,"{""command"": ""Model Summary""}"
I need model details.,"{""command"": ""Model Summary""}"
