User Input,Mapped Function
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}"
Epoch it,"{""text"": ""What event should be used to create epochs?""}"
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}"
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}"
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}"
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}"
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}"
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}"
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}"
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}"
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}"
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}"
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix or performance table?""}"
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}"
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}"
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}"
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}"
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}"
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}"
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}"
Can I see the visualization results?,"{""text"": ""Which plot do you want to see? Saliency map or saliency topographic map?""}"
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}"
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}"
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}"
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}"
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}"
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}"
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}"
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}"
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}"
