User Input,Mapped Function,Model Output,Latency (s)
perform standard preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.87
basic preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.33
preprocess the data for me,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.30
Normalize using z-score and extract epochs from -0.2s to 0.8s for event 100,"{{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 100, ""start_time"": -0.2, ""end_time"": 0.8}}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}, {'text': 'Normalize using z-score and extract epochs from -0.2s to 0.8s for event 100'}]",1.53
Apply a bandpass filter from 1 to 40 Hz and resample to 256 Hz,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 256}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.5}}]",2.67
"Apply a bandpass filter from 0.1 to 45 Hz, normalize using z-score","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45.0}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",4.41
"Apply a 0.5-30 Hz filter, extract epochs for event 200 from -0.2s to 0.6s, and remove baseline from -0.2s to 0s","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 30.0}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 200, ""start_time"": -0.2, ""end_time"": 0.6, ""baseline_tmin"": -0.2, ""baseline_tmax"": 0.0, ""doRemoval"": true}}}","[{'command': 'Time Epoch', 'parameters': {'baseline_tmax': 0, 'baseline_tmin': -0.2, 'doRemoval': False, 'end_time': 0.6, 'event': [200], 'start_time': -0.2}}]",2.10
"Filter from 1 to 50 Hz, downsample to 100 Hz, and save","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 50.0}}, {""command"": ""Resample"",  ""parameters"": {""frequency"": 100}}, {""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}}","[{'command': 'Filtering', 'parameters': {'frequency': 100, 'h_freq': 50, 'l_freq': 1}}]",2.45
use some preprocess techniques,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}], [{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]]",1.93
do some data preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}",[{'command': 'Import Data'}],0.10
