User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}",[{'text': 'Which event do you want to use for epoching?'}],1.88
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",3.48
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}","[{'text': 'Sure, the data can be segmented into trials based on the continuous EEG data using a technique such as chunking or epoching. Each trial would represent a specific time interval in the continuous EEG data.'}]",1.02
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}",[{'text': 'Which event do you want to use for epoching?'}],2.51
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}","[{'text': 'Sure, epoching is required before training. It involves dividing the continuous EEG data into smaller segments called epochs.'}]",0.70
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}",[{'text': 'Which event do you want to use for epoching?'}],2.19
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use this software to split your EEG data into training and testing sets. The exact steps would be: 1. Load your EEG data into the software. 2. Specify the size of the training and testing sets (e.g., 80% for training and 20% for testing). 3. The software will automatically split your data and create the corresponding train and test files.'}]",1.89
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",3.09
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",2.14
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}","[[{'command': 'Export', 'parameters': {'path': './preprocessed_data'}}], [{'command': 'Resample', 'parameters': {'frequency': 125}}], [{'command': 'Coherence Plot', 'parameters': {'frequency_range': [0.5, 45], 'method': 'pearson'}}]]",11.70
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",2.29
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}",[],13.45
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix, performance table, or export the model output?""}",[],12.15
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.78
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",2.56
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}",[],14.37
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}","[{'command': 'Export Model', 'parameters': {'type': 'Accuracy (%)'}}]",1.70
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.59
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",2.71
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}",[],12.06
Can I see the saliency?,"{""text"": ""Which saliency plot do you want to see? Saliency map or saliency topographic map?""}","[{'command': 'Saliency', 'parameters': {}}]",1.71
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}",[{'text': '3D saliency plot of the brain showing the activity of different brain regions during a specific task.'}],0.56
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}","[{'command': 'Visualization', 'parameters': {'event': 'None'}}]",1.61
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}",[{'text': '3D visualization is not included in the software capabilities.'}],0.36
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}",[{'text': 'Which event do you want to see for the event visualization?'}],2.29
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}","[{'command': 'clean plots', 'parameters': {}}]",1.65
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}","[{'command': 'Saliency', 'parameters': {'class_id': 1}}]",2.56
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}","[{'command': 'Model Summary', 'parameters': {}}]",1.28
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}","[{'text': 'Sure, the software allows you to visualize activity over time through various tools, including saliency maps, saliency topographic maps, spectrograms, 3D saliency plots, and model summaries. These tools help you to understand how the EEG signal changes over time and identify different brain activity patterns.'}]",1.37
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.71
