User Input,Mapped Function,Model Output,Latency (s)
Load EEG data from file,load data,[{'text': 'Please provide the path to the EEG data file.'}],1.18
I want to load data ,load data,[{'command': 'Import Data'}],0.13
Can you load data?,load data,[{'command': 'Import Data'}],0.10
Help me load data,load data,[{'command': 'Import Data'}],0.22
import data for me,load data,[{'command': 'Import Data'}],0.10
I want to import data,load data,[{'command': 'Import Data'}],0.19
data load,load data,[{'command': 'Import Data'}],0.20
load data,load data,[{'command': 'Import Data'}],0.19
import data,load data,[{'command': 'Import Data'}],0.19
load new data for analysis,load data,[{'command': 'Import Data'}],0.20
filter the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.33
apply filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 48, 'high_freq': 0.5, 'l_freq': 1, 'low_freq': 48}}]",3.24
apply band-pass filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.1}}]",0.74
filter the data within 5hz to 40hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 40}}","[{'command': 'Export', 'parameters': {}}]",1.37
apply filter with low cutoff frequency of 5,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 50}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 5}}]",4.65
apply filter with high cutoff of 45hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'l_freq': 45}}]",1.02
Apply a low-pass filter at 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[[{'command': 'Resample', 'parameters': {'frequency': 128}}], [{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]]",5.68
Apply a high-pass filter at 0.5 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 45}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.5}}]",1.23
Perform a bandpass filter from 0.1 Hz to 45 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -1}}]",18.14
Apply a bandpass filter from 1 to 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}]",1.24
Normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",0.99
normalize the data with z-score method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.88
normalize the data with min max method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",0.95
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.95
can you normalize the data?,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'text': 'Yes, the software can normalize the data by subtracting the mean and dividing by the standard deviation of each channel.'}]",0.36
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",1.00
Normalize the data using z-score,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",1.11
Perform min-max normalization,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'command': 'Normalize', 'parameters': {'method': 'min max'}}]",1.19
normalize the data please,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'text': 'Sure, I can help with that. What type of normalization do you want to perform? High-pass, low-pass, or band-pass?'}]",0.43
I want to normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.36
resample the data to 125hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",1.15
resample the data to 250hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}","[{'command': 'Resample', 'parameters': {'frequency': 250}}]",1.07
Downsample the data to 128 Hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}","[{'command': 'Resample', 'parameters': {'frequency': 128}}]",0.84
resample the data to 125,"{""command"": ""Resample"", ""parameters"": {""frequency"": 125}}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",0.91
resample the data to 250,"{""command"": ""Resample"", ""parameters"": {""frequency"": 250}}","[{'command': 'Resample', 'parameters': {'frequency': 250}}]",0.92
Downsample the data to 100,"{""command"": ""Resample"", ""parameters"": {""frequency"": 100}}","[{'command': 'Resample', 'parameters': {'frequency': 100}}]",1.19
apply resampling to 128,"{""command"": ""Resample"", ""parameters"": {""frequency"": 128}}",[{'text': 'Resampling involves dividing the original data into smaller chunks and then stitching them back together at the end. This can be used to improve the performance of machine learning algorithms by reducing overfitting.'}],0.54
resample the data to 500hz please,"{""command"": ""Resample"", ""parameters"": {""frequency"": 500}}","[{'command': 'Resample', 'parameters': {'frequency': 500}}]",0.91
I want to resample the data to 256hz,"{""command"": ""Resample"", ""parameters"": {""frequency"": 256}}","[{'command': 'Resample', 'parameters': {'frequency': 256}}]",0.90
can you downsample the data to 200hz?,"{""command"": ""Resample"", ""parameters"": {""frequency"": 200}}","[{'command': 'Resample', 'parameters': {'frequency': 200}}]",1.04
"epoch with event 800,801,802","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800, 801, 802], 'start_time': -0.5}}]",1.50
"epoch with event 600, 700, 801","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [600, 700, 801], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'event': [600, 700, 801]}}]",1.20
"epoch with event 800,801,802, 803, 804","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802, 803, 804], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800, 801, 802, 803, 804], 'start_time': -0.5}}]",2.04
epoch with event 800,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800], 'start_time': -0.5}}]",1.16
"epoch with event 800,801,802 with start time of -1","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -1, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'event': [800, 801, 802], 'start_time': -1}}]",1.15
"epoch with event 800,801,802 with time -1 to 5","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -1, ""end_time"": 5}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 5, 'event': [800, 801, 802], 'start_time': -1}}]",1.64
epoch with event 800 with start time 1sec prior of event to 3sec after,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -1, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [800, 100], 'start_time': 1}}]",1.32
epoch with event 800 with start time 0.5sec prior of event to 3sec after,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3}}}","[{'command': 'Time Epoch', 'parameters': {'event': [800, 0.5, 3]}}]",2.06
"epoch with event 800,801,802 and do baseline removal","{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800,801,802], ""start_time"": -0.5, ""end_time"": 3, ""baseline_tmin"": -0.5, ""baseline_tmax"": 3, ""doRemoval""： True}}}","[{'command': 'Time Epoch', 'parameters': {'baseline_tmax': 3, 'baseline_tmin': -0.5, 'doRemoval': True, 'end_time': 3, 'event': [800, 801, 802], 'start_time': -0.5}}]",2.67
epoch with event 800 and do baseline removal,"{{""command"": ""Time Epoch"", ""parameters"": {""event"": [800], ""start_time"": -0.5, ""end_time"": 3, ""baseline_tmin"": -0.5, ""baseline_tmax"": 3, ""doRemoval""： True}}}","[{'command': 'Time Epoch', 'parameters': {'baseline_tmax': 3, 'baseline_tmin': -0.5, 'doRemoval': True, 'end_time': 3, 'event': [800], 'start_time': -0.5}}]",1.98
export the preprocessed data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}",[],0.80
save the preprocessed data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}",[{'command': 'Import Data'}],0.21
export the current data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}","[{'text': 'Welcome to the EEG data analysis software! We can help you with data loading, preprocessing, training, evaluation, and visualization. Please let us know how we can assist you further.'}]",1.07
save the data now,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}",[{'command': 'Import Data'}],0.14
perform export,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}",[{'command': 'Import Data'}],0.12
export the data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}","[{'text': ""I'm ready to load data. What kind of data would you like to load?""}]",1.07
export current data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}","[{'text': ""I'm ready to start! Please provide me with the necessary data for analysis.""}]",0.85
I want to save the preprocessed data,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}",[{'command': 'Import Data'}],0.18
export the data to ./preprocessed,"{""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed""}}",[{'command': 'Import Data'}],0.18
export the data to ./new_data,"{""command"": ""Export"", ""parameters"": {""path"": ""./new_data""}}",[{'command': 'Import Data'}],0.17
I want to split the data using trial.,"{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": ""False""}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Trial', 'training_type': 'full data', 'validation_type': 'By Trial'}}]",2.69
standard data splitting.,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}","[{'command': 'Dataset splitting', 'parameters': {'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",1.71
split data into train test validation,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",1.62
split the data,"{{""command"": ""Dataset splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": ""False""}}}","[{'command': 'Dataset splitting', 'parameters': {'session_index': 1, 'training_type': 'By Session'}}]",1.12
