User Input,Mapped Function,Model Output,Latency (s)
perform standard preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.67
basic preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",2.58
preprocess the data for me,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Export', 'parameters': {'path': './processed_data'}}]",3.76
Normalize using z-score and extract epochs from -0.2s to 0.8s for event 100,"{{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 100, ""start_time"": -0.2, ""end_time"": 0.8}}}","[{'command': 'Normalize', 'parameters': {'end_time': 0.8, 'method': 'z score', 'start_time': -0.2}}]",1.51
Apply a bandpass filter from 1 to 40 Hz and resample to 256 Hz,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 256}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 1}}, {'command': 'Resample', 'parameters': {'frequency': 256}}]",1.52
"Apply a bandpass filter from 0.1 to 45 Hz, normalize using z-score","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45.0}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.1}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.60
"Apply a 0.5-30 Hz filter, extract epochs for event 200 from -0.2s to 0.6s, and remove baseline from -0.2s to 0s","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 30.0}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 200, ""start_time"": -0.2, ""end_time"": 0.6, ""baseline_tmin"": -0.2, ""baseline_tmax"": 0.0, ""doRemoval"": true}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 30, 'l_freq': 0.5}}]",2.71
"Filter from 1 to 50 Hz, downsample to 100 Hz, and save","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 50.0}}, {""command"": ""Resample"",  ""parameters"": {""frequency"": 100}}, {""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 50, 'l_freq': 1, 'sampling_rate': 100}}]",1.38
use some preprocess techniques,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}",[{'text': 'Which preprocess techniques would you like to use?'}],0.91
do some data preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}], [{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}], [{'command': 'Resample', 'parameters': {'frequency': 128}}]]",3.09
"Train a model using SCCNet, set 50 epochs, batch size 32, learning rate 0.001, Adam optimizer, and save checkpoints every 5 epochs","{{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 50, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 5, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}}","[{'command': 'Model Selection', 'parameters': {'model': 'SCCNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 32, 'checkpoint epoch': 5, 'epoch': 50, 'evaluation': 'Best validation loss', 'learning rate': 0.001, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}]",2.76
"Split data by session, then train an EEGNet model for 100 epochs using SGD","{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": false}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 100, ""batch size"": 64, ""learning rate"": 0.01, ""optimizer"": ""SGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best testing performance"", ""repeat"": 1}}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'By Session', 'validation_type': 'By Session'}}, {'command': 'Model Selection', 'parameters': {'model': 'EEGNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 100, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}]",3.98
Train ShallowConvNet and show training accuracy,"{{""command"": ""Model Selection"", ""parameters"": {""model"": ""ShallowConvNet""}},   {""command"": ""Training Setting"", ""parameters"": {""epoch"": 50, ""batch size"": 32, ""learning rate"": 0.005, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}, {""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}}","[{'command': 'Model Selection', 'parameters': {'model': 'ShallowConvNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 200, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}, {'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",3.16
"Perform cross-validation with SCCNet, train for 200 epochs, batch size 16, and use AdamW optimizer","{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Subject (Independent)"", ""validation_type"": ""By Subject"", ""cross_validation"": true}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 200, ""batch size"": 16, ""learning rate"": 0.002, ""optimizer"": ""AdamW"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 20, ""evaluation"": ""Best testing AUC"", ""repeat"": 1}}}","[{'command': 'Model Selection', 'parameters': {'model': 'SCCNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 200, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'AdamW', 'output directory': './output_model', 'repeat': 1}}]",2.79
"Split by trial, train EEGNet with 150 epochs, and show AUC","{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": false}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 150, ""batch size"": 64, ""learning rate"": 0.0005, ""optimizer"": ""RMSprop"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}, {""command"": ""Training Manager"", ""parameters"": {""plot"": ""auc""}}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Trial', 'training_type': 'full data', 'validation_type': 'By Trial'}}, {'command': 'Model Selection', 'parameters': {'model': 'EEGNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 150, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}]",3.98
"Train ShallowConvNet for 120 epochs, show loss","{{""command"": ""Model Selection"", ""parameters"": {""model"": ""ShallowConvNet""}},   {""command"": ""Training Setting"", ""parameters"": {""epoch"": 120, ""batch size"": 32, ""learning rate"": 0.005, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}, {""command"": ""Training Manager"", ""parameters"": {""plot"": ""loss""}}}","[[{'command': 'Training Manager', 'parameters': {'plot': 'loss'}}], [{'command': 'Model Selection', 'parameters': {'model': 'ShallowConvNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 200, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}]]",3.38
Train EEGNet and show learning rate,"{{""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 50, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 5, ""evaluation"": ""Best validation loss"", ""repeat"": 1}, {""Training Manager"": {""plot"": ""learning rate""}}}","[{'command': 'Model Selection', 'parameters': {'model': 'EEGNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 200, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}]",2.85
"select a model, set the training stuff and show accuracy","{{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}, {""Training Manager"": {""plot"": ""accuracy""}}}}}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",3.70
