User Input,Mapped Function,Model Output,Latency (s)
Load EEG data from file,load data,[{'command': 'Import Data'}],0.19
I want to load data ,load data,[{'text': 'The data has been loaded successfully.'}],1.33
Can you load data?,load data,"[{'command': 'Load Data', 'parameters': {'data_path': 'path/to/data.csv', 'end_time': '23:59:00', 'start_time': '00:00:00'}}]",4.91
Help me load data,load data,"[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.15
import data for me,load data,"[{'command': 'Load Data', 'parameters': {'filename': 'your_data.csv'}}]",1.21
I want to import data,load data,"[[{'command': 'Dataset Splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}], [{'command': 'Load Data', 'parameters': {'data_path': 'path/to/data.csv'}}]]",1.92
data load,load data,"[{'text': 'Sure, you can load EEG data using the load data function. Once the data is loaded, you can pre-process it by filtering, normalizing, and resampling it to ensure consistent formatting and reduce subject variability.'}]",1.68
load data,load data,"[{'command': 'Dataset Splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",2.75
import data,load data,"[{'command': 'Load Data', 'parameters': {'data_path': 'path/to/data.mat'}}]",1.15
load new data for analysis,load data,"[[{'command': 'Load Data', 'parameters': {'data_path': 'path/to/data.mat'}}], [{'command': 'Dataset Splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}], [{'command': 'Model Selection', 'parameters': {'model': 'SCCNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 32, 'checkpoint epoch': 10, 'epoch': 100, 'evaluation': 'Best validation loss', 'learning rate': 0.001, 'optimizer': 'ASGD', 'output directory': './output_model', 'repeat': 1}}]]",2.74
filter the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'text': 'Sure, I can help you with that. Here are the steps to preprocess your EEG data using this software:'}]",2.97
