User Input,Mapped Function,Model Output,Latency (s)
perform standard preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'text': 'Sure, here are the standard preprocessing steps for EEG data that can be performed using this software:'}]",1.35
basic preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Dataset Splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",2.38
preprocess the data for me,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Dataset Splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",8.04
Normalize using z-score and extract epochs from -0.2s to 0.8s for event 100,"{{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 100, ""start_time"": -0.2, ""end_time"": 0.8}}}","[{'command': 'Normalize', 'parameters': {'end_value': 0.8, 'method': 'z score', 'start_value': -0.2}}]",4.20
Apply a bandpass filter from 1 to 40 Hz and resample to 256 Hz,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 256}}}","[{'command': 'Dataset Splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",4.13
"Apply a bandpass filter from 0.1 to 45 Hz, normalize using z-score","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45.0}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'text': ""The software can be used to perform the following steps: Load and preprocess the EEG data, train a machine learning model, evaluate the model's performance, and visualize the results.""}]",5.12
"Apply a 0.5-30 Hz filter, extract epochs for event 200 from -0.2s to 0.6s, and remove baseline from -0.2s to 0s","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 30.0}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 200, ""start_time"": -0.2, ""end_time"": 0.6, ""baseline_tmin"": -0.2, ""baseline_tmax"": 0.0, ""doRemoval"": true}}}",[{'command': 'Import Data'}],0.83
"Filter from 1 to 50 Hz, downsample to 100 Hz, and save","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 50.0}}, {""command"": ""Resample"",  ""parameters"": {""frequency"": 100}}, {""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}}",[{'command': 'Import Data'}],1.89
use some preprocess techniques,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Dataset Splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'full data', 'validation_type': 'By Session'}}]",5.32
do some data preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Load Data', 'parameters': {'data_path': 'path/to/data.csv'}}]",6.47
