User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}",[{'text': 'Which event do you want to use for epoching?'}],0.37
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",0.72
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}","[{'text': ""Yes, the software allows you to segment data into trials. You can use the 'epoch extraction' feature to segment the data into epochs, and then train a model on each epoch separately.""}]",0.59
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}",[{'text': 'Which event do you want to use for epoching?'}],0.74
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}","[{'text': 'Sure, the user can use the software to perform epoching. Epoching involves dividing the continuous EEG data into smaller segments called epochs. This process helps to reduce the dimensionality of the data and improve the performance of machine learning algorithms.'}]",0.61
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}","[{'text': ""Yes, this software can perform epoch segmentation by dividing the continuous EEG data into smaller segments called epochs. Each epoch represents a specific time interval in the brain's activity.""}]",0.61
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use the split function to divide your EEG data into training and testing sets. This allows you to train your machine learning model on the training data and evaluate its performance on the testing data.'}]",0.61
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",0.72
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",0.39
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}","[{'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Resample', 'parameters': {'frequency': 250}}, {'command': 'Resample', 'parameters': {'frequency': 128}}]",0.82
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.33
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}",[{'text': 'The model achieved an accuracy of {accuracy_value}% on the validation set.'}],14.60
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix or performance table?""}",[{'text': 'Confusion matrix: \\n...\\nAccuracy: ...\\nAUC: ...\\nKappa: ...'}],15.89
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.94
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}",[{'text': 'Training successfully completed. The training accuracy reached 95% on the validation set.'}],1.04
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}","[{'text': ""Sure, here's a summary of the results:""}]",5.61
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}","[{'command': 'Export Model', 'parameters': {}}]",0.45
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}",[{'text': 'The result analysis phase can be explained through classification models and statistical analysis as below:'}],0.59
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",0.49
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}",[],20.28
Can I see the visualization results?,"{""text"": ""Which plot do you want to see? Saliency map or saliency topographic map?""}",[{'text': 'Which plot do you want to see? Can you be more specific?'}],0.40
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}",[{'text': '3D saliency plot of the brain showing the most active regions.'}],0.26
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}",[{'text': 'Which plot do you want to see? Can you be more specific?'}],0.72
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}",[{'text': '3D visualization is not currently available with this software.'}],0.34
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}","[{'command': 'Time Epoch', 'parameters': {'event': [1, 2]}}]",0.74
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}","[{'command': 'Clean plots', 'parameters': {}}]",3.16
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}","[{'command': 'Saliency map', 'parameters': {'class_id': 1}}]",1.80
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}","[{'command': 'Model Summary', 'parameters': {}}]",1.41
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}","[{'text': 'Sure, the software allows you to generate time-series plots of various EEG features, including power, amplitude, and phase. These plots can help you visualize how the brain activity changes over time.'}]",0.49
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",0.45
