User Input,Mapped Function,Model Output,Latency (s)
perform standard preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}]",1.70
basic preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'text': 'Unable to segment data into epochs without event numbers, please provide more information for me.'}]",2.06
preprocess the data for me,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.94
Normalize using z-score and extract epochs from -0.2s to 0.8s for event 100,"{{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 100, ""start_time"": -0.2, ""end_time"": 0.8}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 0.8, 'event': [100], 'start_time': -0.2}}]",2.44
Apply a bandpass filter from 1 to 40 Hz and resample to 256 Hz,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 256}}}","[{'command': 'Filtering', 'parameters': {'frequency': 256, 'h_freq': 40, 'l_freq': 1}}]",1.43
"Apply a bandpass filter from 0.1 to 45 Hz, normalize using z-score","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45.0}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}], [{'command': 'Resample', 'parameters': {'frequency': 128}}], [{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 0.5}}]]",4.79
"Apply a 0.5-30 Hz filter, extract epochs for event 200 from -0.2s to 0.6s, and remove baseline from -0.2s to 0s","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 30.0}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 200, ""start_time"": -0.2, ""end_time"": 0.6, ""baseline_tmin"": -0.2, ""baseline_tmax"": 0.0, ""doRemoval"": true}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 0.6, 'event': [200], 'start_time': -0.2}}]",1.46
"Filter from 1 to 50 Hz, downsample to 100 Hz, and save","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 50.0}}, {""command"": ""Resample"",  ""parameters"": {""frequency"": 100}}, {""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 48, 'l_freq': 1}}]",3.78
use some preprocess techniques,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}",[{'command': 'Import Data'}],0.14
do some data preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}",[{'command': 'Import Data'}],0.11
"Train a model using SCCNet, set 50 epochs, batch size 32, learning rate 0.001, Adam optimizer, and save checkpoints every 5 epochs","{{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 50, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 5, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}}","[[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}], [{'command': 'Model Selection', 'parameters': {'model': 'SCCNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 32, 'checkpoint epoch': 5, 'epoch': 50, 'evaluation': 'Best validation loss', 'learning rate': 0.001, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}]]",4.77
"Split data by session, then train an EEGNet model for 100 epochs using SGD","{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": false}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 100, ""batch size"": 64, ""learning rate"": 0.01, ""optimizer"": ""SGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best testing performance"", ""repeat"": 1}}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'By Session', 'validation_type': 'By Session'}}, {'command': 'Model Selection', 'parameters': {'model': 'EEGNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 32, 'checkpoint epoch': 10, 'epoch': 100, 'evaluation': 'Best validation loss', 'learning rate': 0.001, 'optimizer': 'SGD', 'output directory': './output_model', 'repeat': 1}}]",4.09
Train ShallowConvNet and show training accuracy,"{{""command"": ""Model Selection"", ""parameters"": {""model"": ""ShallowConvNet""}},   {""command"": ""Training Setting"", ""parameters"": {""epoch"": 50, ""batch size"": 32, ""learning rate"": 0.005, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}, {""command"": ""Training Manager"", ""parameters"": {""plot"": ""accuracy""}}}","[[{'command': 'Model Selection', 'parameters': {'model': 'ShallowConvNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 200, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}], [{'command': 'Model Selection', 'parameters': {'model': 'ShallowConvNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 10, 'epoch': 100, 'evaluation': 'Best testing AUC', 'learning rate': 0.01, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}, {'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}], [{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]]",3.48
"Perform cross-validation with SCCNet, train for 200 epochs, batch size 16, and use AdamW optimizer","{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Subject (Independent)"", ""validation_type"": ""By Subject"", ""cross_validation"": true}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 200, ""batch size"": 16, ""learning rate"": 0.002, ""optimizer"": ""AdamW"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 20, ""evaluation"": ""Best testing AUC"", ""repeat"": 1}}}","[{'command': 'Model Selection', 'parameters': {'model': 'SCCNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 16, 'checkpoint epoch': 20, 'epoch': 200, 'evaluation': 'Best validation loss', 'learning rate': 0.001, 'optimizer': 'AdamW', 'output directory': './output_model', 'repeat': 1}}]",2.96
"Split by trial, train EEGNet with 150 epochs, and show AUC","{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": false}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 150, ""batch size"": 64, ""learning rate"": 0.0005, ""optimizer"": ""RMSprop"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}, {""command"": ""Training Manager"", ""parameters"": {""plot"": ""auc""}}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'By Trial', 'validation_type': 'By Session'}}, {'command': 'Model Selection', 'parameters': {'model': 'EEGNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 32, 'checkpoint epoch': 10, 'epoch': 150, 'evaluation': 'Best validation loss', 'learning rate': 0.001, 'optimizer': 'ASGD', 'output directory': './output_model', 'repeat': 1}}]",2.91
"Train ShallowConvNet for 120 epochs, show loss","{{""command"": ""Model Selection"", ""parameters"": {""model"": ""ShallowConvNet""}},   {""command"": ""Training Setting"", ""parameters"": {""epoch"": 120, ""batch size"": 32, ""learning rate"": 0.005, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}, {""command"": ""Training Manager"", ""parameters"": {""plot"": ""loss""}}}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",3.69
Train EEGNet and show learning rate,"{{""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 50, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 5, ""evaluation"": ""Best validation loss"", ""repeat"": 1}, {""Training Manager"": {""plot"": ""learning rate""}}}","[{'command': 'Training Manager', 'parameters': {'plot': 'learning rate'}}]",3.55
"select a model, set the training stuff and show accuracy","{{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"" : 100, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""ASGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best validation loss"", ""repeat"" : 1}, {""Training Manager"": {""plot"": ""accuracy""}}}}}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",3.98
split data by session and start training,"{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Session"", ""validation_type"": ""By Session"", ""cross_validation"": false}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 100, ""batch size"": 64, ""learning rate"": 0.01, ""optimizer"": ""SGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best testing performance"", ""repeat"": 1}}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'By Session', 'validation_type': 'By Session'}}]",1.83
split data by trial and start training,"{{""command"": ""Dataset Splitting"", ""parameters"": {""training_type"": ""full data"", ""testing_type"": ""By Trial"", ""validation_type"": ""By Trial"", ""cross_validation"": false}}, {""command"": ""Model Selection"", ""parameters"": {""model"": ""EEGNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 100, ""batch size"": 64, ""learning rate"": 0.01, ""optimizer"": ""SGD"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 10, ""evaluation"": ""Best testing performance"", ""repeat"": 1}}}","[{'command': 'Dataset splitting', 'parameters': {'cross_validation': 'False', 'testing_type': 'By Session', 'training_type': 'trial', 'validation_type': 'By Session'}}]",1.96
show accuracy and confusion matrix," {{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}},  {""command"": ""Confusion matrix""}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}, {'command': 'Confusion matrix', 'parameters': {}}]",1.13
I want to see AUC and confusion matrix,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Area under ROC-curve""}}, {""command"": ""Confusion matrix""}}","[{'command': 'Performance Table', 'parameters': {'type': 'Area under ROC-curve'}}, {'command': 'Confusion matrix', 'parameters': {}}]",1.13
show confusion matrix then export the model,"{{""command"": ""Confusion matrix""}, {""command"": ""Export Model""}}","[{'command': 'Confusion matrix', 'parameters': {}}, {'command': 'Export Model', 'parameters': {}}]",1.23
"show accuracy, and export the model","{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}, {""command"": ""Export Model""}}","[[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}, {'command': 'Export Model', 'parameters': {}}], [{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]]",2.82
show accuracy then output model,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}, {""command"": ""Export Model""}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.88
show confusion and accuracy,"{{""command"": ""Confusion matrix""}, {""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}}",[{'text': 'Confusion matrix: \\n'}],1.63
I want to see the confusion matrix and the AUC,"{{""command"": ""Confusion matrix""}, {""command"": ""Performance Table"", ""parameters"": {""type"": ""Area under ROC-curve""}}}","[{'command': 'Confusion matrix', 'parameters': {'type': 'Area under ROC-curve'}}]",0.77
can you show me the kappa value and confusion?,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""kappa value""}}, {""command"": ""Confusion matrix""}}","[{'command': 'Confusion matrix', 'parameters': {'type': 'Confusion matrix'}}]",0.97
show me the accuracy and confusion model please," {{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}},  {""command"": ""Confusion matrix""}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}, {'command': 'Confusion matrix', 'parameters': {}}]",1.37
I want to see both accuracy and confusion,"{{""command"": ""Performance Table"", ""parameters"": {""type"": ""Accuracy (%)""}}, {""command"": ""Confusion matrix""}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.19
I want to see the saliency map and topographic map.,"{{""command"": ""Saliency map""}, {""command"": ""Saliency topographic map""}}","[{'command': 'Saliency map', 'parameters': {}}, {'command': 'Saliency topographic map', 'parameters': {}}]",1.32
"Show me the model summary first, then display the 3D saliency plot.","{{""command"": ""Model Summary""}, {""command"": ""3D Saliency plot""}}","[{'command': 'Model Summary', 'parameters': {}}]",3.57
Show me the saliency map and 3D saliency plot for event RH.,"{{""command"": ""Saliency map""}，{""command"": ""3D Saliency plot"", ""parameters"": {""event"": ""RH""}}}","[{'command': '3D Saliency plot', 'parameters': {'event': 'RH'}}]",1.15
I want to see all the saliency visualizations,"{{""command"": ""Saliency map""}, {""command"": ""Saliency topographic map""}, {""command"": ""Saliency spectrogram""}, {""command"": ""3D Saliency plot""}}","[{'command': 'Saliency map', 'parameters': {'event': 'LH'}}, {'command': 'Saliency topographic map', 'parameters': {}}, {'command': 'Saliency spectrogram', 'parameters': {}}, {'command': '3D Saliency plot', 'parameters': {}}, {'command': 'Model Summary', 'parameters': {}}]",2.21
Show me the saliency topographic map and then the model summary,"{{""command"": ""Saliency topographic map""}, {""command"": ""Model Summary""}}","[{'command': 'Saliency topographic map', 'parameters': {'event': None}}, {'command': 'Model Summary', 'parameters': {}}]",1.26
I want to check the model summary and saliency topo map,"{{""command"": ""Model Summary""}, {""command"": ""Saliency topographic map""}}","[{'command': 'Model Summary', 'parameters': {'model_summary': True}}]",0.83
Show me the saliency spectrogram and the 3D saliency plot for event LH,"{{""command"": ""Saliency spectrogram""}, {""command"": ""3D Saliency plot"", ""parameters"": {""event"": ""LH""}}}","[{'command': 'Saliency spectrogram', 'parameters': {'event': 'LH'}}, {'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.73
I want to check the model summary and see the saliency spectrogram.,"{{""command"": ""Model Summary""}, {""command"": ""Saliency spectrogram""}}","[{'command': 'Model Summary', 'parameters': {'model_name': 'Model used for training'}}]",1.02
I want to see both saliency map and topographic map.,"{{""command"": ""Saliency map""}, {""command"": ""Saliency topographic map""}}","[{'command': 'Saliency map', 'parameters': {}}, {'command': 'Saliency topographic map', 'parameters': {}}]",1.04
can you show me the saliency map and saliency spectrogram?,"{{""command"": ""Saliency map""}, {""command"": ""Saliency spectrogram""}}","[{'command': 'Saliency map', 'parameters': {'event': None}}]",1.15
