User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",1.77
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",1.55
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}","[{'text': 'Yes, you can segment the data into trials by dividing it into epochs. Each epoch represents a specific time period in the data, and you can train a model on each epoch and evaluate its performance on that particular subset.'}]",0.50
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}",[{'text': 'Which event do you want to use for epoching?'}],1.03
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}","[{'text': ""The user's query is vague. The model does not have any information about epoching. Therefore, it cannot provide a response.""}]",0.34
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.18
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use this software to divide your EEG data into training and testing sets. The number of trials can be set by the user.'}]",0.38
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",1.57
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.18
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",1.24
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.08
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}",[],13.11
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix or performance table?""}","[{'text': 'The training process took 10 epochs, with an accuracy of 95%. The confusion matrix shows that the model correctly classified 90% of the positive cases and 10% of the negative cases. The average accuracy is 92%. The AUC is 0.98, indicating that the model has a good ability to distinguish between positive and negative cases.'}]",2.08
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.06
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",1.60
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}","[{'text': ""Sure, here's a summary of the results:""}]",2.32
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}","[{'command': 'Export Model', 'parameters': {'type': 'Model weight'}}]",1.31
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.08
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'loss'}}]",1.02
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}",[],12.67
Can I see the visualization results?,"{""text"": ""Which plot do you want to see? Saliency map or saliency topographic map?""}","[{'command': 'Clean plots', 'parameters': {}}]",1.03
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}",[{'text': '3D saliency plot showing the brain activation in different regions during a specific task.'}],0.67
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",0.97
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}",[{'text': '3D visualization is not included in the capabilities of this software.'}],0.32
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}","[{'command': 'Time Epoch', 'parameters': {'event': [1, 2]}}]",1.51
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}","[{'command': 'clean plots', 'parameters': {}}]",0.87
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}",[{'text': '...'}],1.02
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}","[{'command': 'Model Summary', 'parameters': {'model_summary': True}}]",1.29
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}","[{'text': 'Sure, you can use the visualization tools to see the activity over time. You can use the 3D saliency plot to visualize the activity in 3D, and the spectrograms and other time-series plots to visualize the activity over time.'}]",0.55
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}","[[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}], [{'command': 'Model Summary', 'parameters': {}}]]",1.70
