User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.59
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.10
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}","[{'text': 'Yes, you can segment the data into trials based on a specified condition, such as time intervals or event markers.'}]",0.38
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}",[{'text': 'Which event should I use to define the trials?'}],1.46
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}","[{'text': 'Epoching is a crucial preprocessing step that involves dividing the continuous EEG data into smaller segments called epochs. This allows the model to learn patterns from specific time intervals, improving itsgeneralizability.'}]",0.50
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}","[{'text': '❌ Epoch segmentation is not part of the default functionality of this software. However, it can be implemented as an extension or custom script.'}]",0.68
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use this software to split your EEG data into training, validation, and test sets. This allows you to train a model and evaluate its performance before deploying it on unseen data.'}]",0.74
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.14
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.34
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}",[{'text': 'Please specify the window size and the number of windows.'}],2.13
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}","[{'text': 'You can use this software to preprocess EEG data, train machine learning models, evaluate results, and visualize data insights.'}]",0.93
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}","[{'text': 'Hi, how can I assist you today?'}]",1.20
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix or performance table?""}",[{'text': 'Confusion matrix:\\n...\\nAccuracy: ...\\nAUC: ...\\nKappa: ...'}],1.66
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}","[{'command': 'Performance Table', 'parameters': {'type': 'Area under ROC-curve'}}]",1.34
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",1.70
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}",[{'text': 'Accuracy: 85.67%'}],2.90
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}","[{'text': 'Your model performance is as follows: Accuracy: ..., AUC: ..., Kappa: ...'}]",0.73
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}",[{'text': 'Accuracy: 85.67%'}],1.01
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",0.99
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}","[{'text': ""I'm unable to provide test results as I do not have access to real-time data or the ability to perform predictions.""}]",0.96
Can I see the visualization results?,"{""text"": ""Which plot do you want to see? Saliency map or saliency topographic map?""}","[{'text': 'Sure, here are the visualization results: ...'}]",1.22
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}","[{'text': ""Sure, here's a plot of the data you loaded.""}]",0.46
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}","[{'text': 'Which type of plot do you want to see? Select from the following options: Saliency map, Saliency topographic map, Saliency spectrogram, 3D Saliency plot, Model Summary, clean plots.'}]",2.00
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}",[{'text': '3D visualization is not currently supported by this software.'}],0.31
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}","[{'command': 'Time Epoch', 'parameters': {'event': [800, 801, 802]}}]",2.21
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}","[{'command': 'clean plots', 'parameters': {}}]",1.18
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}","[{'command': 'Saliency map', 'parameters': {'class_label': '1'}}]",1.90
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}","[{'command': 'clean plots', 'parameters': {}}]",1.02
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}","[{'text': 'Yes, you can use this software to visualize activity over time by plotting the signal values over time. You can use various tools and plots to visualize the data, including line charts, heatmaps, and scatter plots.'}]",0.57
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}","[[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}], [{'command': 'Saliency map', 'parameters': {'event': 'LH'}}], [{'command': 'clean plots', 'parameters': {}}]]",1.13
