User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}",[{'text': 'Which event do you want to use for epoching?'}],0.91
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'text': ""I'm afraid I can't perform time epoch without event number, please provide more information.""}]",1.33
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}","[{'text': 'Sure, you can use the following steps to segment the data into trials:\n\n1. Load the data into the software.\n2. Identify the first and last samples of each trial.\n3. Split the data into training and testing sets using the chosen trial indices.\n4. Repeat steps 1-3 for each trial.\n\nThis approach ensures that each trial has the same length and that there is a valid overlap between training and testing sets.'}]",1.02
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}",[{'text': 'Please specify the event you want to use for epoching.'}],0.90
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}","[{'text': 'Sure, you can choose the option to perform epoching. The data will be segmented into epochs automatically, making the process more convenient and efficient for processing.'}]",0.54
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}","[{'text': 'Yes, you can use this software to perform epoch segmentation by dividing the continuous EEG data into multiple segments based on specific criteria, such as time intervals or thresholds.'}]",0.51
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use this software to divide your EEG data into training and validation sets. This allows you to train a model and evaluate its performance before finalizing the model for clinical use.'}]",0.61
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",1.64
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': '3D Saliency plot', 'parameters': {'event': 'LH'}}]",1.43
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [100, 200, 300], 'start_time': -0.5}}]",1.64
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.92
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}",[{'text': 'Model training is complete. The training process will take approximately 10 minutes.'}],10.14
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix or performance table?""}",[{'text': 'Confusion matrix:\\n...\\nAccuracy: XX.XX%'}],9.51
Evaluate the model for me.,"{""text"": ""Which evaluation would you like? (e.g., accuracy, confusion matrix, AUC)""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.55
How did the training go?,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'accuracy': 0.8, 'auc': 0.9, 'kappa': 0.8, 'last_epoch': 100, 'loss': 0.0001}}]",1.64
Can I get a summary of results?,"{""text"": ""Do you mean a performance table, confusion matrix, or something else?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}, {'command': 'Confusion matrix', 'parameters': {}}, {'command': 'Export Model', 'parameters': {}}]",1.74
Give me model output.,"{""text"": ""Do you want to export the model output or view evaluation metrics?""}","[{'command': 'Export Model', 'parameters': {'save_model_output': True}}]",3.38
Check the result,"{""text"": ""Would you like to see accuracy, AUC, or the confusion matrix?""}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",1.92
I want to see how it performs,"{""text"": ""Do you mean performance table or confusion matrix?""}","[{'command': 'Training Manager', 'parameters': {'plot': 'accuracy'}}]",1.05
Can you show test results?,"{""text"": ""Should I show a performance table or confusion matrix?""}",[],20.69
Can I see the visualization results?,"{""text"": ""Which plot do you want to see? Saliency map or saliency topographic map?""}","[{'text': 'Sure, here are the visualization results you requested.'}]",0.91
I want to see a plot.,"{""text"": ""Which plot do you want to see? Can you be more specific?""}",[{'text': '3D saliency plot showing the brain activity during a specific task.'}],0.26
Show me the visualization,"{""text"": ""What kind of visualization do you want to see? (e.g., saliency map, spectrogram, model summary)""}",[{'text': 'Which plot do you want to see? Can you be more specific?'}],1.48
Can you display something 3D?,"{""text"": ""Do you want to see a 3D saliency plot? If so, for which event?""}",[{'text': '3D visualization is not supported by this software.'}],0.23
I want to see event visualization.,"{""text"": ""Would you like a 3D saliency plot or another type of visualization?""}",[{'text': 'Which event should the data be segmented by?'}],1.69
Visualize the data.,"{""text"": ""Which type of visualization do you want? (e.g., saliency map, spectrogram)""}","[{'command': 'Clean plots', 'parameters': {}}]",0.89
Give me saliency of one class.,"{""text"": ""Which saliency plot and event do you want to visualize?""}","[{'command': 'Saliency map', 'parameters': {}}]",0.90
I want to see model visualization.,"{""text"": ""Do you want to see the model summary or a saliency plot?""}","[{'command': 'Model Summary', 'parameters': {}}]",0.84
Can I see activity over time?,"{""text"": ""Would you like to see a saliency spectrogram?""}","[{'text': 'Sure, you can use the visualization tools to see activity over time. These tools can be used to display the EEG signals in different formats, such as saliency maps, topographic maps, spectrograms, and 3D saliency plots. This allows you to see how the EEG signals change over time and identify any abnormalities or changes in the signal patterns.'}]",0.76
Plot brain activity.,"{""text"": ""Do you want a saliency map, topographic map, or 3D saliency plot? If 3D, which event?""}","[[{'command': 'Model Summary', 'parameters': {'event': None}}], [{'command': 'clean plots', 'parameters': {}}]]",4.10
