User Input,Mapped Function,Model Output,Latency (s)
Load EEG data from file,load data,"[{'text': 'Sure, you can load EEG data from a file. You can use the `load_data` function to load the data and then pre-process it according to your needs.'}]",1.40
I want to load data ,load data,[{'command': 'Import Data'}],0.10
Can you load data?,load data,[{'command': 'Import Data'}],0.09
Help me load data,load data,[{'command': 'Import Data'}],0.09
import data for me,load data,[{'command': 'Import Data'}],0.08
I want to import data,load data,[{'command': 'Import Data'}],0.06
data load,load data,[{'command': 'Import Data'}],0.12
load data,load data,[{'command': 'Import Data'}],0.06
import data,load data,[{'command': 'Import Data'}],0.12
load new data for analysis,load data,[{'command': 'Import Data'}],0.11
filter the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}",[{'text': 'Do you want to perform Dataset splitting or Dataset Splitting?'}],1.38
apply filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'text': ""Sure, here's a detailed breakdown of the steps to use this software: \n1. Load the data \n2. Preprocess the data \n3. Train a model \n4. Evaluate results \n5. Use visualization tools to analyze data further.""}]",0.63
apply band-pass filter to the data,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 50}}","[{'command': 'Performance Table', 'parameters': {'type': 'Accuracy (%)'}}]",0.94
filter the data within 5hz to 40hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 40}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40, 'l_freq': 5}}]",1.14
apply filter with low cutoff frequency of 5,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 5, ""h_freq"": 50}}",[{'text': '5 is applied to the low-pass filter of the bandpass filter of frequency range 0.5–30 Hz.\n\nI hope this information is helpful. Please let me know if you have any other questions.'}],0.47
apply filter with high cutoff of 45hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 45}}","[{'text': 'Sure, the software can perform the following tasks: Load Data, Preprocess, Training, Evaluation, and Visualization.'}]",0.34
Apply a low-pass filter at 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'text': ""Sure, here's how you can apply a low-pass filter at 40 Hz to the data""}]",0.37
Apply a high-pass filter at 0.5 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 45}}","[{'text': 'Sure, you can apply a high-pass filter at 0.5 Hz to remove low-frequency noise from the EEG data.'}]",0.37
Perform a bandpass filter from 0.1 Hz to 45 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45}}","[{'text': 'Sure, you can use this software to perform a bandpass filter from 0.1 Hz to 45 Hz on the EEG data. The specific steps would be: 1. Load the data, 2. Apply a bandpass filter with frequency range of 0.1 Hz to 45 Hz, 3. Save the preprocessed data.'}]",0.77
Apply a bandpass filter from 1 to 40 Hz,"{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1, ""h_freq"": 40}}","[{'text': ""Sure, here's how to apply a bandpass filter from 1 to 40 Hz to the data""}]",0.32
Normalize the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",0.86
normalize the data with z-score method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'text': 'Sure, here are the steps to use this software:'}]",0.52
normalize the data with min max method,"{""command"": ""Normalize"", ""parameters"": {""method"": ""min max""}}","[{'text': ""Sure. We can normalize the data using the min-max scaling method. This method involves scaling the data to a range between 0 and 1. This method is commonly used in image processing and is effective in reducing the impact of extreme values on the model's performance.""}]",0.62
apply normalization to the data,"{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}]",1.02
