User Input,Mapped Function,Model Output,Latency (s)
perform standard preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",2.42
basic preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",2.14
preprocess the data for me,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",2.07
Normalize using z-score and extract epochs from -0.2s to 0.8s for event 100,"{{""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 100, ""start_time"": -0.2, ""end_time"": 0.8}}}","[{'command': 'Normalize', 'parameters': {'method': 'z score'}}, {'command': 'Time Epoch', 'parameters': {'end_time': 0.8, 'event': [100, 200, 300], 'start_time': -0.2}}]",1.86
Apply a bandpass filter from 1 to 40 Hz and resample to 256 Hz,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 256}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 1}}, {'command': 'Resample', 'parameters': {'frequency': 256}}]",1.6
"Apply a bandpass filter from 0.1 to 45 Hz, normalize using z-score","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.1, ""h_freq"": 45.0}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 45, 'l_freq': 0.1}}]",1.37
"Apply a 0.5-30 Hz filter, extract epochs for event 200 from -0.2s to 0.6s, and remove baseline from -0.2s to 0s","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 30.0}}, {""command"": ""Time Epoch"", ""parameters"": {""event"": 200, ""start_time"": -0.2, ""end_time"": 0.6, ""baseline_tmin"": -0.2, ""baseline_tmax"": 0.0, ""doRemoval"": true}}}","[{'command': 'Time Epoch', 'parameters': {'end_time': 0.6, 'event': [200], 'start_time': -0.2}}]",1.36
"Filter from 1 to 50 Hz, downsample to 100 Hz, and save","{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 1.0, ""h_freq"": 50.0}}, {""command"": ""Resample"",  ""parameters"": {""frequency"": 100}}, {""command"": ""Export"", ""parameters"": {""path"": ""./preprocessed_data""}}}","[{'command': 'Filtering', 'parameters': {'frequency': 100, 'h_freq': 50, 'l_freq': 1}}]",1.44
use some preprocess techniques,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'command': 'Resample', 'parameters': {'frequency': 125}}, {'command': 'Normalize', 'parameters': {'method': 'z score'}}]",2.06
do some data preprocess,"{{""command"": ""Filtering"", ""parameters"": {""l_freq"": 0.5, ""h_freq"": 40.0}}, {""command"": ""Resample"", ""parameters"": {""frequency"": 125}}, {""command"": ""Normalize"", ""parameters"": {""method"": ""z score""}}}","[{'command': 'Filtering', 'parameters': {'h_freq': 40.0, 'l_freq': 0.5}}, {'text': 'Unable to segment data into epochs without event numbers, please provide more information for me.'}]",1.8
"Train a model using SCCNet, set 50 epochs, batch size 32, learning rate 0.001, Adam optimizer, and save checkpoints every 5 epochs","{{""command"": ""Model Selection"", ""parameters"": {""model"": ""SCCNet""}}, {""command"": ""Training Setting"", ""parameters"": {""epoch"": 50, ""batch size"": 32, ""learning rate"": 0.001, ""optimizer"": ""Adam"", ""output directory"": ""./output_model"", ""checkpoint epoch"": 5, ""evaluation"": ""Best validation loss"", ""repeat"": 1}}}","[{'command': 'Model Selection', 'parameters': {'model': 'SCCNet'}}, {'command': 'Training Setting', 'parameters': {'batch size': 32, 'checkpoint epoch': 5, 'epoch': 50, 'evaluation': 'Best validation loss', 'learning rate': 0.001, 'optimizer': 'Adam', 'output directory': './output_model', 'repeat': 1}}]",2.78
