User Input,Mapped Function,Model Output,Latency (s)
I want to epoch the data.,"{""text"": ""Which event do you want to use for epoching?""}",[{'text': 'Do you want to perform Time Epoch?'}],1.21
Epoch it,"{""text"": ""What event should be used to create epochs?""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [1, 2], 'start_time': -0.5}}]",1.35
Can you segment the data into trials?,"{""text"": ""Which event label should I use to create the epochs?""}",[{'command': 'Import Data'}],0.16
I'd like to split the data into epochs.,"{""text"": ""Please specify the event you want to use for epoching.""}",[{'text': 'Which event do you want to use for epoching?'}],0.8
Do epoching please,"{""text"": ""What event do you want to epoch the data on?""}",[{'text': 'Which event do you want to use for epoching?'}],0.92
Can you do epoch segmentation,"{""text"": ""Which event should the data be segmented by?""}",[{'text': 'Which event do you want to use for epoching?'}],0.89
Cut EEG into trials,"{""text"": ""Which event should I use to define the trials?""}","[{'text': 'Sure, you can use the split function to divide your data into training and testing sets. The split function takes a data frame as input and returns a new data frame with the same structure, but with the rows divided into the training and testing sets.'}]",0.64
Epoch the signal for me.,"{""text"": ""Please provide the event to use for epoching.""}",[{'text': 'Do you want to perform Time Epoch?'}],1.34
Let's do event-based segmentation.,"{""text"": ""Which event would you like to segment by?""}","[{'command': 'Time Epoch', 'parameters': {'end_time': 3, 'event': [1, 2], 'start_time': -0.5}}]",1.31
Divide the data into time windows.,"{""text"": ""Are you referring to epochs? If so, which event should be used?""}","[{'command': 'Resample', 'parameters': {'frequency': 125}}]",1.56
Can I see the performance?,"{""text"": ""Do you want to see accuracy, AUC, or kappa value?""}",[{'text': 'Do you want to perform Performance Table?'}],1.06
I want to know how the model did.,"{""text"": ""Would you like a confusion matrix or a performance table?""}","[{'text': ""The model performance is displayed in the evaluation section, including accuracy, loss, AUC, and kappa value. You can access these metrics to evaluate the model's performance on the validation data.""}]",0.4
Show me the evaluation result.,"{""text"": ""Do you want to see the confusion matrix, performance table, or export the model output?""}","[{'text': 'Confusion matrix:\\n[[0.95, 0.05]\\n[0.05, 0.95]]\\nAccuracy: 0.96'}]",10.28
